Year,PRICE,INTERTIE,INSTALLED,EXPORTS,DEMAND_QC,DEMAND_US,INVESTMENT
1979,0.04,2941,12247,16.47,79.1,181.8,2817
1980,0.049,3740,14634,17.46,84.74,183.04,1589
1981,0.066,3740,16324,18.48,85.81,187.4,2643
1982,0.067,3740,16914,17.88,83.54,185.96,2542
1983,0.065,3760,19073,19.54,85.14,193.28,2170
1984,0.07,4535,21252,22.88,91.02,198.26,1591
1985,0.073,4556,21282,24.19,97.64,200.95,1528
1986,0.071,4556,22247,26.93,103.54,206.94,1470
1987,0.065,4556,22305,28.77,110.41,216.2,1686
1988,0.056,4556,22362,16.88,119.73,228.04,2107
1989,0.053,4556,22898,9.72,127.49,232.7,2466
1990,0.055,4556,23454,9.2,125.96,233.6,3179
1991,0.057,4556,25080,9.82,127.23,232.63,4074
1992,0.066,4556,26163,12.59,131.96,232.37,4125
1993,0.077,4556,26926,15.12,136.98,234.97,4028
1994,0.087,4556,28242,19.16,139,237.49,3291
1995,0.089,4556,28969,24.07,142.04,237.26,2768
1996,0.087,4946,29220,18.89,144.51,239.95,2047
1997,0.091,4946,29203,15.24,147.29,241.44,2133
1998,0.097,4965,29203,18.57,142.81,244.91,2326
1999,0.091,5013,30378,24.23,146.99,253.1,2098
2000,0.097,5013,30389,36.91,152.76,259.01,3490
2001,0.113,5013,30386,42.39,152.21,262.66,1878
2002,0.105,5013,30392,54.2,158.57,267.17,2256
2003,0.095,5013,31347,15.79,167.09,267.48,2694
2004,0.084,5013,31622,14.39,165.89,270.33,2217
2005,0.086,5013,32299,15.34,169.18,278.01,3399
2006,0.094,5013,32973,14.46,167.34,266.74,3501
2007,0.091,5013,33305,19.62,173.16,276.42,3590
2008,0.098,5013,34118,21.3,170.4,267.1,3953
2009,0.104,5013,34499,23.36,165.32,259.2,4307
2010,0.086,5013,34490,23.27,169.49,267.95,4220
2011,0.076,5013,35285,26.76,169.97,265.04,3814
2012,0.074,5013,35125,28.09,168.4,263.62,3932
2013,0.081,5013,35364,32.21,173.28,269.25,4335
2014,0.098,6013,36100,26.62,174.22,267.36,3815
2015,0.129,6013,36370,29.86,171.26,269.08,3440
2016,0.132,6013,36366,32.74,169.25,265.6,3460
2017,0.132,6013,36767,34.94,170.7,260.45,3754
2018,0.141,6013,36767,36.52,172.81,268.56,3402
2019,0.148,6013,36700,34.79,174.58,260.06,3614
2020,0.152,6013,36687,32.4,171.45,252.25,3366
2021,0.14,7263,36694,36.19,175.23,255.22,4223